OrderDetailCode,OrderDate,ProductNumber,ProductTypeCode,ProductLineCode,SalesStaffCode,SalesBranchCode,SalesCountryCode,SalesTerritoryCode,VendorContactCode,VendorSiteCode,VendorCode,VendorTypeCode,OrderMethodCode,OrderMethod,Quantity,UnitCost,UnitPrice,UnitSalePrice,Revenue,Sale Cost,Margin
53366,19990726,88,15,4,5,6,1,6,206,221,125,8,4,E-mail,320,1.88,6.63,5.44,1740.8,601.6,1139.2
53465,19990726,102,18,5,5,6,1,6,206,221,125,8,4,E-mail,4,442.16,928.53,928.53,3714.12,1768.64,1945.48
53490,19990726,105,19,5,5,6,1,6,206,221,125,8,4,E-mail,8,668.67,1471.08,1471.08,11768.64,5349.36,6419.28
53540,19990726,111,20,5,5,6,1,6,206,221,125,8,4,E-mail,4,82.11,180.63,180.63,722.52,328.44,394.08
53545,19990726,112,21,5,5,6,1,6,206,221,125,8,4,E-mail,48,7.09,10.64,10.64,510.72,340.32,170.4
53829,20000313,36,5,1,5,6,1,6,180,195,1,5,4,E-mail,142,18.45,30.64,30.64,4350.88,2619.9,1730.98
53872,20000313,43,6,2,5,6,1,6,180,195,1,5,4,E-mail,32,126.51,189.77,189.77,6072.64,4048.32,2024.32
53896,20000313,46,7,2,5,6,1,6,180,195,1,5,4,E-mail,24,52.54,73.55,73.55,1765.2,1260.96,504.24
53993,20000313,59,9,2,5,6,1,6,180,195,1,5,4,E-mail,22,45.58,59.25,59.25,1303.5,1002.76,300.74
54008,20000313,61,9,2,5,6,1,6,180,195,1,5,4,E-mail,66,19.52,39.04,39.04,2576.64,1288.32,1288.32
53980,20000815,57,9,2,5,6,1,6,180,195,1,5,7,Sales visit,26,38.97,77.94,77.94,2026.44,1013.22,1013.22
53911,20000711,48,7,2,5,6,1,6,181,196,1,5,1,Fax,8,53.93,107.86,107.86,862.88,431.44,431.44
53977,20000711,57,9,2,5,6,1,6,181,196,1,5,1,Fax,16,38.97,77.94,77.94,1247.04,623.52,623.52
54139,20000401,79,13,3,5,6,1,6,185,203,32,4,5,Web,28,98.98,133.63,133.63,3741.64,2771.44,970.2
54199,20000401,88,15,4,5,6,1,6,185,203,32,4,5,Web,48,1.91,6.73,5.05,242.4,91.68,150.72
53617,20000727,7,1,1,5,6,1,6,185,203,32,4,7,Sales visit,22,47.25,65.23,65.23,1435.06,1039.5,395.56
53670,20000727,15,2,1,5,6,1,6,185,203,32,4,7,Sales visit,18,504.54,756.82,756.82,13622.76,9081.72,4541.04
54026,20000727,63,10,3,5,6,1,6,185,203,32,4,7,Sales visit,40,30.63,45.97,45.97,1838.8,1225.2,613.6
54250,20000727,95,16,4,5,6,1,6,185,203,32,4,7,Sales visit,162,2.94,5.88,5.88,952.56,476.28,476.28
53583,20000331,2,1,1,5,6,1,6,194,214,35,6,5,Web,102,9.32,12.13,11.14,1136.28,950.64,185.64
53650,20000331,11,2,1,5,6,1,6,194,214,35,6,5,Web,30,253.07,354.29,318.86,9565.8,7592.1,1973.7
53675,20000331,16,2,1,5,6,1,6,194,214,35,6,5,Web,176,1.02,2.05,1.7,299.2,179.52,119.68
53689,20000331,18,3,1,5,6,1,6,194,214,35,6,5,Web,128,89.16,133.75,118.15,15123.2,11412.48,3710.72
53838,20000331,38,5,1,5,6,1,6,194,214,35,6,5,Web,56,20.54,30.84,27.23,1524.88,1150.24,374.64
53864,20000331,42,6,2,5,6,1,6,194,214,35,6,5,Web,16,100.91,151.38,133.72,2139.52,1614.56,524.96
54099,20000331,73,12,3,5,6,1,6,194,214,35,6,5,Web,60,8.68,12.15,10.94,656.4,520.8,135.6
54140,20000331,79,13,3,5,6,1,6,194,214,35,6,5,Web,38,98.98,133.63,121.5,4617,3761.24,855.76
54175,20000331,84,14,3,5,6,1,6,194,214,35,6,5,Web,34,81.23,113.73,102.34,3479.56,2761.82,717.74
54183,20000331,85,14,3,5,6,1,6,194,214,35,6,5,Web,54,177.17,301.2,257.79,13920.66,9567.18,4353.48
54283,20000331,100,17,4,5,6,1,6,194,214,35,6,5,Web,132,2.85,5.71,4.71,621.72,376.2,245.52
53597,20000807,4,1,1,5,6,1,6,194,214,35,6,7,Sales visit,74,5.11,7.15,6.44,476.56,378.14,98.42
53681,20000807,17,3,1,5,6,1,6,194,214,35,6,7,Sales visit,46,60.29,84.41,75.97,3494.62,2773.34,721.28
53735,20000807,24,4,1,5,6,1,6,194,214,35,6,7,Sales visit,48,63.95,76.73,72.26,3468.48,3069.6,398.88
53827,20000807,36,5,1,5,6,1,6,194,214,35,6,7,Sales visit,106,18.45,30.64,26.37,2795.22,1955.7,839.52
53843,20000807,39,5,1,5,6,1,6,194,214,35,6,7,Sales visit,70,41.65,66.66,57.91,4053.7,2915.5,1138.2
53848,20000807,40,5,1,5,6,1,6,194,214,35,6,7,Sales visit,130,18.19,25.29,22.79,2962.7,2364.7,598
53854,20000807,41,5,1,5,6,1,6,194,214,35,6,7,Sales visit,46,25.15,32.7,30.06,1382.76,1156.9,225.86
54052,20000807,66,10,3,5,6,1,6,194,214,35,6,7,Sales visit,36,46.45,92.91,76.65,2759.4,1672.2,1087.2
54077,20000807,70,11,3,5,6,1,6,194,214,35,6,7,Sales visit,38,81.37,122.06,107.81,4096.78,3092.06,1004.72
54098,20000807,73,12,3,5,6,1,6,194,214,35,6,7,Sales visit,38,8.68,12.15,10.94,415.72,329.84,85.88
54239,20000807,94,16,4,5,6,1,6,194,214,35,6,7,Sales visit,190,1.9,4.78,3.77,716.3,361,355.3
54258,20000807,97,17,4,5,6,1,6,194,214,35,6,7,Sales visit,14,24.84,34.77,31.29,438.06,347.76,90.3
53691,20000429,18,3,1,5,6,1,6,202,216,37,2,7,Sales visit,74,89.16,133.75,118.15,8743.1,6597.84,2145.26
53805,20000429,33,5,1,5,6,1,6,202,216,37,2,7,Sales visit,116,18.2,27.3,24.12,2797.92,2111.2,686.72
54031,20000429,63,10,3,5,6,1,6,202,216,37,2,7,Sales visit,52,30.63,45.97,40.61,2111.72,1592.76,518.96
54033,20000429,64,10,3,5,6,1,6,202,216,37,2,7,Sales visit,52,20.1,40.2,33.16,1724.32,1045.2,679.12
54161,20000429,82,14,3,5,6,1,6,202,216,37,2,7,Sales visit,44,20.47,30.71,27.13,1193.72,900.68,293.04
54275,20000429,99,17,4,5,6,1,6,202,216,37,2,7,Sales visit,38,1.97,4.94,3.9,148.2,74.86,73.34
54288,20000429,101,18,5,5,6,1,6,202,216,37,2,7,Sales visit,34,305.64,550.16,464.58,15795.72,10391.76,5403.96
54362,20000429,109,20,5,5,6,1,6,202,216,37,2,7,Sales visit,66,35.15,63.27,53.43,3526.38,2319.9,1206.48
54403,20000429,114,21,5,5,6,1,6,202,216,37,2,7,Sales visit,8,79.7,199.27,157.42,1259.36,637.6,621.76
53589,20000712,3,1,1,5,6,1,6,202,216,37,2,2,Telephone,54,16.54,22.84,20.63,1114.02,893.16,220.86
53658,20000712,13,2,1,5,6,1,6,202,216,37,2,2,Telephone,50,398.41,537.84,489.04,24452,19920.5,4531.5
53680,20000712,17,3,1,5,6,1,6,202,216,37,2,2,Telephone,56,60.29,84.41,75.97,4254.32,3376.24,878.08
53713,20000712,21,3,1,5,6,1,6,202,216,37,2,2,Telephone,40,30.28,36.34,34.22,1368.8,1211.2,157.6
54121,20000712,76,12,3,5,6,1,6,202,216,37,2,2,Telephone,104,23.54,40.02,34.25,3562,2448.16,1113.84
54151,20000712,81,13,3,5,6,1,6,202,216,37,2,2,Telephone,36,41.99,83.98,69.27,2493.72,1511.64,982.08
54238,20000712,94,16,4,5,6,1,6,202,216,37,2,2,Telephone,218,1.9,4.78,3.77,821.86,414.2,407.66
54272,20000712,99,17,4,5,6,1,6,202,216,37,2,2,Telephone,124,1.97,4.94,3.9,483.6,244.28,239.32
54333,20000712,106,19,5,5,6,1,6,202,216,37,2,2,Telephone,14,551.46,992.65,838.23,11735.22,7720.44,4014.78
54361,20000712,109,20,5,5,6,1,6,202,216,37,2,2,Telephone,50,35.15,63.27,53.43,2671.5,1757.5,914
54400,20000712,113,21,5,5,6,1,6,202,216,37,2,2,Telephone,58,6.01,12.05,9.93,575.94,348.58,227.36
53769,20000421,29,4,1,5,6,1,6,206,221,125,8,7,Sales visit,54,41.77,71.02,60.79,3282.66,2255.58,1027.08
53949,20000421,53,8,2,5,6,1,6,206,221,125,8,7,Sales visit,40,28.2,39.49,35.54,1421.6,1128,293.6
54147,20000421,80,13,3,5,6,1,6,206,221,125,8,7,Sales visit,46,96.51,164.08,140.42,6459.32,4439.46,2019.86
54301,20000421,102,18,5,5,6,1,6,206,221,125,8,7,Sales visit,12,392.17,823.58,672.59,8071.08,4706.04,3365.04
54312,20000421,104,18,5,5,6,1,6,206,221,125,8,7,Sales visit,8,336.04,705.69,576.3,4610.4,2688.32,1922.08
54325,20000421,105,19,5,5,6,1,6,206,221,125,8,7,Sales visit,34,558.15,1227.96,993.53,33780.02,18977.1,14802.92
54339,20000421,107,19,5,5,6,1,6,206,221,125,8,7,Sales visit,10,520.15,1144.32,925.85,9258.5,5201.5,4057
54373,20000421,110,20,5,5,6,1,6,206,221,125,8,7,Sales visit,18,60.63,121.29,100.05,1800.9,1091.34,709.56
53648,20000715,11,2,1,5,6,1,6,206,221,125,8,5,Web,22,253.07,354.29,318.86,7014.92,5567.54,1447.38
53748,20000715,26,4,1,5,6,1,6,206,221,125,8,5,Web,60,217.91,326.86,288.73,17323.8,13074.6,4249.2
53947,20000715,53,8,2,5,6,1,6,206,221,125,8,5,Web,34,28.2,39.49,35.54,1208.36,958.8,249.56
54295,20000715,102,18,5,5,6,1,6,206,221,125,8,5,Web,10,392.17,823.58,672.59,6725.9,3921.7,2804.2
54366,20000715,110,20,5,5,6,1,6,206,221,125,8,5,Web,12,60.63,121.29,100.05,1200.6,727.56,473.04
54378,20000715,111,20,5,5,6,1,6,206,221,125,8,5,Web,2,81.87,180.13,145.75,291.5,163.74,127.76
54406,20000715,114,21,5,5,6,1,6,206,221,125,8,5,Web,2,79.7,199.27,157.42,314.84,159.4,155.44
54410,20000715,115,21,5,5,6,1,6,206,221,125,8,5,Web,72,5.01,10.03,8.27,595.44,360.72,234.72
54527,20010415,15,2,1,5,6,1,6,180,195,1,5,7,Sales visit,24,490,735,719.84,17276.16,11760,5516.16
54870,20010712,60,9,2,5,6,1,6,180,195,1,5,2,Telephone,30,10,20,20,600,300,300
54591,20010318,24,4,1,5,6,1,6,185,203,32,4,7,Sales visit,86,62.5,75,71.87,6180.82,5375,805.82
54672,20010318,34,5,1,5,6,1,6,185,203,32,4,7,Sales visit,58,28.12,44.99,40.77,2364.66,1630.96,733.7
54919,20010318,67,10,3,5,6,1,6,185,203,32,4,7,Sales visit,48,116.19,243.99,212.03,10177.44,5577.12,4600.32
55008,20010318,78,13,3,5,6,1,6,185,203,32,4,7,Sales visit,118,79.19,99,94.05,11097.9,9344.42,1753.48
55088,20010318,89,15,4,5,6,1,6,185,203,32,4,7,Sales visit,106,2.5,7,5.86,621.16,265,356.16
54680,20010724,35,5,1,5,6,1,6,185,203,32,4,5,Web,88,17.78,24,22.44,1974.72,1564.64,410.08
54708,20010724,39,5,1,5,6,1,6,185,203,32,4,5,Web,126,40.63,65,58.9,7421.4,5119.38,2302.02
54732,20010724,42,6,2,5,6,1,6,185,203,32,4,5,Web,32,106.66,160,146.66,4693.12,3413.12,1280
54923,20010724,67,10,3,5,6,1,6,185,203,32,4,5,Web,106,116.19,243.99,212.03,22475.18,12316.14,10159.04
55114,20010724,94,16,4,5,6,1,6,185,203,32,4,5,Web,208,2,5,4.25,884,416,468
54638,20010424,29,4,1,5,6,1,6,186,204,32,4,7,Sales visit,72,41.18,70,70,5040,2964.96,2075.04
54701,20010424,38,5,1,5,6,1,6,186,204,32,4,7,Sales visit,74,20,30,30,2220,1480,740
54892,20010424,63,10,3,5,6,1,6,186,204,32,4,7,Sales visit,68,30,45,45,3060,2040,1020
54999,20010424,77,12,3,5,6,1,6,186,204,32,4,7,Sales visit,96,45,90,90,8640,4320,4320
54480,20010811,8,1,1,5,6,1,6,186,204,32,4,5,Web,42,75,129,115.5,4851,3150,1701
54542,20010811,17,3,1,5,6,1,6,186,204,32,4,5,Web,72,60,84,78,5616,4320,1296
54603,20010811,25,4,1,5,6,1,6,186,204,32,4,5,Web,60,166.66,250,229.16,13749.6,9999.6,3750
54685,20010811,35,5,1,5,6,1,6,186,204,32,4,5,Web,110,17.78,24,22.44,2468.4,1955.8,512.6
55064,20010811,86,15,4,5,6,1,6,186,204,32,4,5,Web,72,2,6,5,360,144,216
55084,20010811,89,15,4,5,6,1,6,186,204,32,4,5,Web,62,2.5,7,5.86,363.32,155,208.32
54785,20010421,50,8,2,5,6,1,6,189,207,33,6,5,Web,136,2,4,4,544,272,272
54798,20010421,52,8,2,5,6,1,6,189,207,33,6,5,Web,42,19,38,38,1596,798,798
54869,20010421,60,9,2,5,6,1,6,189,207,33,6,5,Web,54,10,20,20,1080,540,540
54937,20010421,69,11,3,5,6,1,6,189,207,33,6,5,Web,16,73.33,109.98,109.98,1759.68,1173.28,586.4
55099,20010421,91,16,4,5,6,1,6,189,207,33,6,5,Web,60,2,5,5,300,120,180
54505,20010824,11,2,1,5,6,1,6,189,207,33,6,3,Mail,32,250,350,325,10400,8000,2400
54561,20010824,20,3,1,5,6,1,6,189,207,33,6,3,Mail,40,78.55,109.98,102.13,4085.2,3142,943.2
54722,20010824,41,5,1,5,6,1,6,189,207,33,6,3,Mail,52,24.62,32,30.14,1567.28,1280.24,287.04
54761,20010824,47,7,2,5,6,1,6,189,207,33,6,3,Mail,44,44.83,65,59.95,2637.8,1972.52,665.28
54769,20010824,48,7,2,5,6,1,6,189,207,33,6,3,Mail,18,55,110,96.25,1732.5,990,742.5
54830,20010824,55,8,2,5,6,1,6,189,207,33,6,3,Mail,32,4,8,7,224,128,96
54885,20010824,62,9,2,5,6,1,6,189,207,33,6,3,Mail,66,47.06,80,71.76,4736.16,3105.96,1630.2
55045,20010824,83,14,3,5,6,1,6,189,207,33,6,3,Mail,90,56.25,90,81.55,7339.5,5062.5,2277
55104,20010824,92,16,4,5,6,1,6,189,207,33,6,3,Mail,28,2,5,4.25,119,56,63
54724,20010322,41,5,1,5,6,1,6,192,208,33,6,5,Web,36,24.62,32,30.14,1085.04,886.32,198.72
54746,20010322,44,6,2,5,6,1,6,192,208,33,6,5,Web,56,231.11,346.66,317.76,17794.56,12942.16,4852.4
54764,20010322,47,7,2,5,6,1,6,192,208,33,6,5,Web,60,44.83,65,59.95,3597,2689.8,907.2
54804,20010322,53,8,2,5,6,1,6,192,208,33,6,5,Web,60,28.55,39.99,37.13,2227.8,1713,514.8
54817,20010322,54,8,2,5,6,1,6,192,208,33,6,5,Web,64,35.33,52.99,48.56,3107.84,2261.12,846.72
54845,20010322,57,9,2,5,6,1,6,192,208,33,6,5,Web,36,40,80,70,2520,1440,1080
55093,20010322,90,15,4,5,6,1,6,192,208,33,6,5,Web,172,2.5,7,5.86,1007.92,430,577.92
55097,20010322,91,16,4,5,6,1,6,192,208,33,6,5,Web,58,2,5,4.25,246.5,116,130.5
54742,20010729,44,6,2,5,6,1,6,192,208,33,6,4,E-mail,20,231.11,346.66,346.66,6933.2,4622.2,2311
54766,20010729,47,7,2,5,6,1,6,192,208,33,6,4,E-mail,20,44.83,65,65,1300,896.6,403.4
54796,20010729,52,8,2,5,6,1,6,192,208,33,6,4,E-mail,18,19,38,38,684,342,342
54805,20010729,53,8,2,5,6,1,6,192,208,33,6,4,E-mail,20,28.55,39.99,39.99,799.8,571,228.8
54821,20010729,54,8,2,5,6,1,6,192,208,33,6,4,E-mail,24,35.33,52.99,52.99,1271.76,847.92,423.84
54825,20010729,55,8,2,5,6,1,6,192,208,33,6,4,E-mail,80,4,8,8,640,320,320
54839,20010729,57,9,2,5,6,1,6,192,208,33,6,4,E-mail,16,40,80,80,1280,640,640
54855,20010729,58,9,2,5,6,1,6,192,208,33,6,4,E-mail,42,57.13,79.98,79.98,3359.16,2399.46,959.7
54867,20010729,60,9,2,5,6,1,6,192,208,33,6,4,E-mail,32,10,20,20,640,320,320
54877,20010729,61,9,2,5,6,1,6,192,208,33,6,4,E-mail,112,20,40,40,4480,2240,2240
54431,20010421,2,1,1,5,6,1,6,194,214,35,6,2,Telephone,116,9.22,11.98,11.3,1310.8,1069.52,241.28
54593,20010421,24,4,1,5,6,1,6,194,214,35,6,2,Telephone,132,62.5,75,71.87,9486.84,8250,1236.84
54670,20010421,34,5,1,5,6,1,6,194,214,35,6,2,Telephone,314,28.12,44.99,40.77,12801.78,8829.68,3972.1
54710,20010421,39,5,1,5,6,1,6,194,214,35,6,2,Telephone,128,40.63,65,58.9,7539.2,5200.64,2338.56
54920,20010421,67,10,3,5,6,1,6,194,214,35,6,2,Telephone,44,116.19,243.99,212.03,9329.32,5112.36,4216.96
55047,20010421,83,14,3,5,6,1,6,194,214,35,6,2,Telephone,54,56.25,90,81.55,4403.7,3037.5,1366.2
55107,20010421,93,16,4,5,6,1,6,194,214,35,6,2,Telephone,132,2,5,3.78,498.96,264,234.96
55130,20010421,97,17,4,5,6,1,6,194,214,35,6,2,Telephone,12,25,35,31,372,300,72
54504,20010710,11,2,1,5,6,1,6,194,214,35,6,5,Web,20,250,350,325,6500,5000,1500
54534,20010710,16,2,1,5,6,1,6,194,214,35,6,5,Web,188,1,2,1.75,329,188,141
54659,20010710,32,5,1,5,6,1,6,194,214,35,6,5,Web,208,16.67,25,22.92,4767.36,3467.36,1300
54729,20010710,42,6,2,5,6,1,6,194,214,35,6,5,Web,36,106.66,160,146.66,5279.76,3839.76,1440
54979,20010710,75,12,3,5,6,1,6,194,214,35,6,5,Web,64,80,110.4,102.8,6579.2,5120,1459.2
55015,20010710,79,13,3,5,6,1,6,194,214,35,6,5,Web,62,92.58,124.98,116.88,7246.56,5739.96,1506.6
55049,20010710,83,14,3,5,6,1,6,194,214,35,6,5,Web,34,56.25,90,81.55,2772.7,1912.5,860.2
54623,20010317,28,4,1,5,6,1,6,199,215,37,2,7,Sales visit,64,24,30,30,1920,1536,384
55116,20010317,94,16,4,5,6,1,6,199,215,37,2,7,Sales visit,106,2,5,5,530,212,318
55197,20010317,106,19,5,5,6,1,6,199,215,37,2,7,Sales visit,10,536.09,964.98,964.98,9649.8,5360.9,4288.9
55260,20010317,113,21,5,5,6,1,6,199,215,37,2,7,Sales visit,76,6,12,12,912,456,456
54628,20010706,28,4,1,5,6,1,6,199,215,37,2,7,Sales visit,60,24,30,28.5,1710,1440,270
54675,20010706,34,5,1,5,6,1,6,199,215,37,2,7,Sales visit,60,28.12,44.99,40.77,2446.2,1687.2,759
55009,20010706,78,13,3,5,6,1,6,199,215,37,2,7,Sales visit,68,79.19,99,94.05,6395.4,5384.92,1010.48
55046,20010706,83,14,3,5,6,1,6,199,215,37,2,7,Sales visit,50,56.25,90,81.55,4077.5,2812.5,1265
55168,20010706,103,18,5,5,6,1,6,199,215,37,2,7,Sales visit,6,277.76,500,444.44,2666.64,1666.56,1000.08
55199,20010706,106,19,5,5,6,1,6,199,215,37,2,7,Sales visit,14,536.09,964.98,857.77,12008.78,7505.26,4503.52
55248,20010706,112,21,5,5,6,1,6,199,215,37,2,7,Sales visit,28,6,9,8.25,231,168,63
55264,20010706,114,21,5,5,6,1,6,199,215,37,2,7,Sales visit,8,80,200,170,1360,640,720
54459,20010316,6,1,1,5,6,1,6,201,217,37,2,5,Web,20,85.11,120,111.27,2225.4,1702.2,523.2
54467,20010316,7,1,1,5,6,1,6,201,217,37,2,5,Web,30,46.38,64,59.59,1787.7,1391.4,396.3
54661,20010316,32,5,1,5,6,1,6,201,217,37,2,5,Web,122,16.67,25,22.92,2796.24,2033.74,762.5
54895,20010316,63,10,3,5,6,1,6,201,217,37,2,5,Web,48,30,45,41.25,1980,1440,540
55014,20010316,79,13,3,5,6,1,6,201,217,37,2,5,Web,60,92.58,124.98,116.88,7012.8,5554.8,1458
55034,20010316,82,14,3,5,6,1,6,201,217,37,2,5,Web,52,20,30,27.5,1430,1040,390
55172,20010316,103,18,5,5,6,1,6,201,217,37,2,5,Web,6,277.76,500,444.44,2666.64,1666.56,1000.08
55253,20010316,112,21,5,5,6,1,6,201,217,37,2,5,Web,78,6,9,8.25,643.5,468,175.5
54437,20010804,3,1,1,5,6,1,6,201,217,37,2,5,Web,54,15.93,21.98,20.47,1105.38,860.22,245.16
54476,20010804,8,1,1,5,6,1,6,201,217,37,2,5,Web,16,75,129,115.5,1848,1200,648
54535,20010804,16,2,1,5,6,1,6,201,217,37,2,5,Web,186,1,2,1.75,325.5,186,139.5
54641,20010804,30,5,1,5,6,1,6,201,217,37,2,5,Web,48,6.75,13.5,11.81,566.88,324,242.88
54988,20010804,76,12,3,5,6,1,6,201,217,37,2,5,Web,124,23.53,40,35.88,4449.12,2917.72,1531.4
55004,20010804,78,13,3,5,6,1,6,201,217,37,2,5,Web,60,79.19,99,94.05,5643,4751.4,891.6
55068,20010804,86,15,4,5,6,1,6,201,217,37,2,5,Web,104,2,6,5,520,208,312
55143,20010804,99,17,4,5,6,1,6,201,217,37,2,5,Web,60,2,5,4.25,255,120,135
55152,20010804,101,18,5,5,6,1,6,201,217,37,2,5,Web,24,305.54,550,488.89,11733.36,7332.96,4400.4
55192,20010804,106,19,5,5,6,1,6,201,217,37,2,5,Web,12,536.09,964.98,857.77,10293.24,6433.08,3860.16
55263,20010804,114,21,5,5,6,1,6,201,217,37,2,5,Web,4,80,200,170,680,320,360
54568,20010322,21,3,1,5,6,1,6,200,218,37,2,2,Telephone,48,29.17,35,35,1680,1400.16,279.84
54668,20010322,33,5,1,5,6,1,6,200,218,37,2,2,Telephone,72,18,27,27,1944,1296,648
54900,20010322,64,10,3,5,6,1,6,200,218,37,2,2,Telephone,60,20,40,40,2400,1200,1200
55077,20010322,88,15,4,5,6,1,6,200,218,37,2,2,Telephone,200,2,7,7,1400,400,1000
55153,20010322,101,18,5,5,6,1,6,200,218,37,2,2,Telephone,24,305.54,550,476.17,11428.08,7332.96,4095.12
54891,20010729,63,10,3,5,6,1,6,200,218,37,2,7,Sales visit,104,30,45,45,4680,3120,1560
55074,20010729,87,15,4,5,6,1,6,200,218,37,2,7,Sales visit,82,2,6,6,492,164,328
